TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
比COVID更嚴峻 抗藥性感染一年奪命上百萬,2022-01-20 13:23:21,國際,研究今天指出，2019年全球有120多萬人直接死於感染超級細菌。學者表示，過去兩年的重點一直放在COVID-19（2019冠狀病毒疾病）上，但抗藥性感染是個「長期挑戰」。綜合法新與路透社報導，這篇刊登在「刺胳針」（The L,"研究今天指出，2019年全球有120多萬人直接死於感染超級細菌。學者表示，過去兩年的重點一直放在COVID-19（2019冠狀病毒疾病）上，但抗藥性感染是個「長期挑戰」。

綜合法新與路透社報導，這篇刊登在「刺胳針」（The Lancet）期刊的研究分析204個國家地區的數據，發現抗生素抗藥性（AMR）直接導致全球127萬人死亡，高於感染愛滋病或瘧疾死亡的人數，還有368萬例死亡是與抗藥性有關，直接或間接死於抗藥性感染達495萬人。

研究共同作者、美國華盛頓大學學者莫瑞（Chris Murray）說：「這些新數據顯示世界各地抗生素抗藥性病例的真實規模，信號如此明確，我們必須立即採取行動應對。」

莫瑞還說，先前的估計是到2050年超級細菌每年恐奪走1000萬條人命，但這次的研究顯示，這個時程恐會提前達到。

世界衛生組織（WHO）去年警告說，正在開發的43種抗生素或最近批准的藥物，都不足以應對抗藥性問題。

匹茲堡大學（University of Pittsburgh）醫學教授 克蘭西（Cornelius Clancy）表示，對付抗藥性的方法之一，就是研究新的治療模式。

他說：「過去數十年來以青黴素－盤尼西林類（penicillin）藥物為主的傳統抗生素模式，我認為已行不通。」

2019年的大部分死亡病例，是由像是肺炎等下呼吸道的抗藥性感染，其次是血流和腹腔。

當前以撒哈拉沙漠以南非洲和南亞的抗生素抗藥性問題最為嚴重，約1/5死亡病例為5歲以下兒童。

克蘭西說，過去兩年的重點一直放在COVID-19（2019冠狀病毒疾病），但抗生素抗藥性才是「長期挑戰」。

","抗藥性,抗生素,COVID,過去,感染",中時新聞網,https://www.chinatimes.com/realtimenews/20220120002559-260408
首批新冠口服藥物「莫納皮拉韋」 今晨抵台,2022-01-24 08:24:39,生活,Omicron疫情升溫，國內急需儲備治療藥物。原本採購1萬份默克藥廠口服藥原訂最快年後到貨，提前於24日清晨由長榮航空BR-641貨機，自美國芝加哥啟運，於清晨5時18分抵達桃園國際機場，這也是首批抵台的COVID-19口服藥,"Omicron疫情升溫，國內急需儲備治療藥物。原本採購1萬份默克藥廠口服藥原訂最快年後到貨，提前於24日清晨由長榮航空BR-641貨機，自美國芝加哥啟運，於清晨5時18分抵達桃園國際機場，這也是首批抵台的COVID-19口服藥。

全球COVID-19疫情延燒，衛生福利部食品藥物管理署證實，默克藥廠口服藥「莫納皮拉韋」（Molnupiravir）已通過緊急使用授權（EUA）審查，中央流行疫情指揮中心採購1萬份。

指揮中心專家諮詢小組召集人張上淳日前表示，默克藥廠口服藥主要適用於發病5天內、具有重症風險因子，且臨床上不適用其他治療方式的成人輕度至中度COVID-19確診者，用藥的病人應確實完成5天療程，並於治療結束後依規定接受隔離，以提高病毒清除率、降低傳播可能性。","默克藥廠,默沙東,口服藥,COVID,19",中時新聞網,https://www.chinatimes.com/realtimenews/20220124001774-260405
歐洲第一國 奧地利將強制成人打疫苗,2022-01-21 16:53:23,國際,奧地利國會下議院今天通過一項法案，將自2月起強制成年民眾接種COVID-19疫苗，成為歐洲第一個實施成人疫苗強制令的國家。奧地利近期出現一波反對強制接種的抗議潮。法新社報導，自奧地利政府去年11月宣布這項措施以,"奧地利國會下議院今天通過一項法案，將自2月起強制成年民眾接種COVID-19疫苗，成為歐洲第一個實施成人疫苗強制令的國家。奧地利近期出現一波反對強制接種的抗議潮。

法新社報導，自奧地利政府去年11月宣布這項措施以來，數以萬計民眾例行於週末集會示威，抗議疫苗強制令。

國會下議院今天表決這項法案，除了極右翼之外，所有黨派都支持新措施。下議院183席次中，表決結果有137票贊成、33票反對。

路透社提到，這項法案有待上議院通過及總統簽署，但多屬形式。

目前為止，奧地利有72%居民已完整接種COVID-19（2019冠狀病毒疾病）疫苗，覆蓋率與歐盟平均值約70%相當，但比起義大利、法國等國家，奧地利的覆蓋率低了幾個百分點。

新法預定2月生效實施，經過初步實行階段之後，從3月中旬起，不遵守疫苗強制令者可能面臨最高3600歐元（約新台幣11萬4800元）的罰款。

奧地利每天新增染疫人數持續破紀錄，昨天通報逾2萬7600人確診又創新高。人口約900萬的奧地利至今累計近1萬4000人染疫不治，約150萬人確診。

目前世界各地實施COVID-19疫苗強制令的國家仍屬極少數，不過，厄瓜多、塔吉克、土庫曼、印尼及密克羅尼西亞都已推出類似計畫。","奧地利,強制令,疫苗,下議院,COVID",中時新聞網,https://www.chinatimes.com/realtimenews/20220121002760-260408
本土＋13 高雄也爆確診,2022-01-20 15:19:30,生活,中央流行疫情指揮中心今（20）日公布國內新增37例COVID-19確定病例，分別為13例本土個案及24例境外移入；另確診個案中無新增死亡。指揮官陳時中表示，其中包含西堤相關新增4位確診者，以及2名尚不清楚感染源的科技廠,"中央流行疫情指揮中心今（20）日公布國內新增37例COVID-19確定病例，分別為13例本土個案及24例境外移入；另確診個案中無新增死亡。

指揮官陳時中表示，其中包含西堤相關新增4位確診者，以及2名尚不清楚感染源的科技廠員工以及其母親。此外，高雄的3個新增確診個案為父母及孩子，因為小孩看病驗出來是陽性，父親工作與高雄港相關並且有北部足跡會積極調查。

指揮中心表示，今日新增本土個案為5例男性、8例女性，年齡介於未滿5歲至80多歲。

指揮中心說明，今日新增境外移入個案為13例男性、11例女性，年齡介於10多歲至50多歲，分別自美國（10例）、越南（3例）、法國及澳大利亞（各2例）、巴拉圭及沙烏地阿拉伯（各1例）移入；另5例調查中。入境日介於今（2022）年1月5日至1月19日。

指揮中心統計，截至目前國內累計5363205例新型冠狀病毒肺炎相關通報（含5344301例排除），其中18041例確診，分別為3238例境外移入，14749例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例（案18119，再次採檢為陰性，改判排除），累計116例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。

指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。","指揮中心,新增,多歲,中央流行疫情指揮中心,COVID",中時新聞網,https://www.chinatimes.com/realtimenews/20220120003226-260405
21期公費疫苗預約平台 開放查詢資格,2022-01-25 14:41:58,生活,中央流行疫情指揮中心今（25）日表示，因應國內本土疫情升溫，目前已提供民眾於各地方政府衛生局安排/指定之合約醫療院所預約或至隨到隨打接種站方式接種COVID-19疫苗。為提供多元疫苗預約管道，加速提升民眾免疫保,"中央流行疫情指揮中心今（25）日表示，因應國內本土疫情升溫，目前已提供民眾於各地方政府衛生局安排/指定之合約醫療院所預約或至隨到隨打接種站方式接種COVID-19疫苗。為提供多元疫苗預約管道，加速提升民眾免疫保護力，COVID-19公費疫苗預約平台（https://1922.gov.tw/ ，以下簡稱預約平臺）第21期將提供「已完整接種兩劑COVID-19疫苗滿12週且滿18歲以上」民眾，預約接種疫苗追加劑。另請已於各地方政府衛生局安排/指定之合約醫療院所完成預約之民眾，請依原已預約時段前往接種，無需再於預約平臺重複預約。

預約平臺相關對象及期程說明如下：

一、施打時程：2月7日至2月13日。

二、符合資格對象：2021年11月21日前已完整接種兩劑疫苗且間隔滿12週之18歲以上民眾[即2004/2/13(含)前出生]預約接種疫苗追加劑。

三、預約分流時程：

(一)65歲以上：1月26日上午10時至1月27日下午4時。

(二)50歲-64歲：1月26日中午12時至1月27日下午4時。

(三)18歲-49歲：1月26日下午2時至1月27日下午4時。

指揮中心說明，民眾可於1月25日下午2時起於預約平台進行預約資格查詢，不再另發送預約提醒簡訊，符合資格民眾請記得於預約時間進行預約，預約當日如遇啟動流量管制亦請配合依序排隊耐心等候預約。

指揮中心指出，預約平台第21期僅提供民眾預約接種疫苗追加劑，民眾若有第一、二劑或基礎加強劑接種需求，請持接種紀錄（小黃卡）至各地方政府指定/安排合約醫療院所或衛生所預約接種，或所設置之隨到隨打接種站接種。前述醫療院所資訊，可至疾管署全球資訊網（https://www.cdc.gov.tw/）COVID-19疫苗接種院所項下，利用「COVID-19疫苗接種院所」或「COVID-19疫苗接種院所地圖」，依各地方政府衛生局提供資訊連結預約接種。

指揮中心提醒，請民眾前往接種COVID-19疫苗前，應備妥「COVID-19疫苗接種紀錄卡」及健保卡，並經醫生評估過往疫苗接種史及檢核接種紀錄後，提供民眾疫苗接種。另18歲至未滿20歲民眾，如自行前往接種，請持家長簽具之意願同意書，若由家長陪同前往接種，請本人與家長於現場共同簽署意願同意書。","預約,COVID,接種,預約接種,疫苗接種",中時新聞網,https://www.chinatimes.com/realtimenews/20220125003217-260405
陳建仁：追求零確診不切實際 不要害怕與病毒共存,2022-01-21 20:08:59,政治,COVID-19疫情持續，中央流行疫情指揮中心今（21）日公布國內新增23例本土確定病例，另有45例境外移入。前副總統陳建仁在臉書表示，追求「零確診」已經不切實際，而要有「與病毒共存」的心理準備，加緊提升疫苗完全接,"COVID-19疫情持續，中央流行疫情指揮中心今（21）日公布國內新增23例本土確定病例，另有45例境外移入。前副總統陳建仁在臉書表示，追求「零確診」已經不切實際，而要有「與病毒共存」的心理準備，加緊提升疫苗完全接種覆蓋率，才能確實保護全民健康！



陳建仁指出，在漫長的人類與傳染病抗爭的歷史上，人類只撲滅了天花病毒，而與所有的其他傳染病原體共存了數千年。COVID-19的演化果真朝著「傳染力越來越強、毒力越來越弱」的方向來演化。



陳建仁分析，在疫苗與抗病毒藥物尚未上市以前，只能靠「非藥物介入」來全力阻斷病毒的社區傳播，由於當時COVID-19的平均致死率高達2%，零確診(Zero COVID-19)成為第一階段防疫的目標。疫苗上市後，我們就進入COVID-19防疫的第二階段，主要目標是快速提升疫苗覆蓋率。



陳建仁表示，一群人接種疫苗所激發的中和抗體濃度，是呈現常態分佈，有人濃度高、有人濃度低。中和抗體濃度偏低的人，在暴露於COVID-19 Omicron變異株之後，會產生突破性感染，但是絕大多數是輕症或無症狀感染，重症與死亡比例相當低。顯而易見，Omicron變異株是以高傳染力和低致死率橫掃世界各國。



陳建仁披露，曾經被感染過或打過兩劑疫苗的人口百分比(亦即，累計確診感染率加上完全接種覆蓋率)，分別是法國98%、英國93%、新加坡92%、以色列87%、加拿大85%、挪威83%、美國83%、台灣71%。由於九成以上的人民已經具有保護力，英國、新加坡等國家已經採行「與病毒共存」的防疫新對策。



陳建仁強調，COVID-19已演變出傳染力高而輕症或無症狀佔多數的新變異株，人類很難完全撲滅它，COVID-19很可能會轉變成地方性疾病，而且我們已經有快篩、疫苗、口服抗病毒藥物，追求「零確診」已經不切實際，而要有「與病毒共存」的心理準備。台灣防疫很成功，繼續提升完全接種覆蓋率，才能確實保護全民健康！



","與病毒共存,陳建仁,COVID-19,Omicron,新冠肺炎",中時新聞網,https://www.chinatimes.com/realtimenews/20220121004865-260407
本土再＋17 桃園相關群聚累積破百人,2022-01-18 14:32:02,生活,中央流行疫情指揮中心18日公布國內新增66例COVID-19確定病例，分別為17例本土個案及49例境外移入；另確診個案中無新增死亡。指揮中心表示，今日新增本土個案為10例男性、7例女性，年齡介於未滿5歲至60多歲。指揮中心,"中央流行疫情指揮中心18日公布國內新增66例COVID-19確定病例，分別為17例本土個案及49例境外移入；另確診個案中無新增死亡。

指揮中心表示，今日新增本土個案為10例男性、7例女性，年齡介於未滿5歲至60多歲。

指揮中心說明，今日新增境外移入個案為33例男性、16例女性，年齡介於未滿10歲至60多歲，分別自美國（21例）、越南（5例）、加拿大（4例）、英國（3例）、法國（2例）、愛爾蘭、西班牙、瑞典、菲律賓、波蘭、墨西哥及巴拿馬（各1例）移入；另7例調查中。入境日介於今（2022）年1月3日至1月17日。

指揮中心統計，截至目前國內累計5306453例新型冠狀病毒肺炎相關通報（含5287815例排除），其中17951例確診，分別為3171例境外移入，14726例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計115例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。

指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。","指揮中心,中央流行疫情指揮中心,COVID,本土個案,例境外移入",中時新聞網,https://www.chinatimes.com/realtimenews/20220118003078-260405
本土＋23創今年新高 北桃高都現確診 境外＋45,2022-01-21 16:05:31,生活,中央流行疫情指揮中心21日公布國內新增68例COVID-19確定病例，分別為23例本土個案及45例境外移入；另確診個案中無新增死亡。指揮中心表示，今日新增本土個案為10例男性、13例女性，年齡介於未滿10歲至70多歲。本土個,"中央流行疫情指揮中心21日公布國內新增68例COVID-19確定病例，分別為23例本土個案及45例境外移入；另確診個案中無新增死亡。

指揮中心表示，今日新增本土個案為10例男性、13例女性，年齡介於未滿10歲至70多歲。本土個案中其中包含台北、桃園相關、高雄相關確診者。

指揮中心說明，今日新增境外移入個案為20例男性、24例女性及1例調查中，年齡介於未滿5歲至70多歲，分別自美國(17例)、菲律賓(4例)、越南及以色列(各3例)、加拿大(2例)、波蘭、澳大利亞、韓國、新加坡、瑞典、俄羅斯、英國及愛爾蘭(各1例)移入；另8例調查中。入境日介於今(2022)年1月5日至1月20日。

指揮中心統計，截至目前國內累計5394042例新型冠狀病毒肺炎相關通報(含5375246例排除)，其中18109例確診，分別為3283例境外移入，14772例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計116例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。

指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。","指揮中心,本土個案,調查中,中央流行疫情指揮中心,COVID",中時新聞網,https://www.chinatimes.com/realtimenews/20220121002908-260405
21日起前往八大場所應出示完整接種疫苗紀錄,2022-01-20 14:40:52,生活,中央流行疫情指揮中心今（20）日表示，因應Omicron新型變異株之威脅，且國內本土疫情尚未平息，存在社區傳播風險，自今（2022）年1月21日起，民眾前往「歌廳、舞廳、夜總會、俱樂部、酒家、酒吧、酒店（廊）、理容院,"中央流行疫情指揮中心今（20）日表示，因應Omicron新型變異株之威脅，且國內本土疫情尚未平息，存在社區傳播風險，自今（2022）年1月21日起，民眾前往「歌廳、舞廳、夜總會、俱樂部、酒家、酒吧、酒店（廊）、理容院（觀光理髮、視聽理容）及特種咖啡茶室、夜店、舞場、三溫暖」等休閒娛樂場所時，應配合出示完整接種COVID-19疫苗紀錄，始得入內活動消費。接種紀錄除出示「紙本疫苗接種卡」外，亦可使用「健保快易通」或「數位新冠病毒健康證明」提供檢視。

指揮中心說明，上述休閒娛樂場所具有接觸不特定人及無法保持社交距離之特性，COVID-19傳播風險相對較高，為降低於場所消費期間接觸染疫之風險，強化場所之防疫管理措施，除維持該等場所工作人員皆應接種COVID-19疫苗2劑且滿14天，未完整接種者，應每週定期篩檢陰性，始得提供服務外，自1月21日起調整民眾前往消費時，須配合出示完整接種COVID-19疫苗2劑且滿14天紀錄，始得進場，請民眾務必配合，也請業者落實查核，使顧客安心消費，同時保護員工健康安全。

指揮中心另指出，針對醫院及住宿式長照機構等現行已有針對COVID-19疫苗接種情形進行規範之場域，請民眾依規定，配合出示COVID-19疫苗紀錄，接種紀錄同樣可使用「紙本疫苗接種卡」、「健保快易通」或「數位新冠病毒健康證明」提供檢視。","安心,紀錄,COVID,出示,完整接種",中時新聞網,https://www.chinatimes.com/realtimenews/20220120003220-260405
馬來西亞縮短入境隔離期 已打追加劑只需隔離5天,2022-01-20 20:49:42,國際,馬來西亞衛生部今天表示，將縮短入境旅客的隔離期，自24日起，已接種追加劑的入境旅客只需隔離5天；適用對象包括馬來西亞公民、永久居民及外籍人士等。星洲日報報導，馬國衛生部長凱里（Khairy Jamaluddin）表示，自,"馬來西亞衛生部今天表示，將縮短入境旅客的隔離期，自24日起，已接種追加劑的入境旅客只需隔離5天；適用對象包括馬來西亞公民、永久居民及外籍人士等。

星洲日報報導，馬國衛生部長凱里（Khairy Jamaluddin）表示，自24日起，入境旅客若已接種追加劑，隔離天數將縮短至5天。

已完整接種COVID-19（2019冠狀病毒疾病）疫苗、但還沒打追加劑的入境者，隔離天數為7天。至於未接種疫苗及尚未完整接種者，入境後需隔離10天。

凱里指出，馬來西亞根據其他國家的數據及經驗，並經衛生部評估後，做出上述決定。

這些措施適用由國外入境大馬的馬來西亞公民、永久居民及外籍人士等。

另一方面，馬來西亞持續推動COVID-19疫苗接種計畫，「星報」（The Star）報導，衛生部表示，將於2月3日開始為5至12歲兒童接種疫苗。

目前馬來西亞疫情保持穩定，近來每天新增確診人數維持在2000多至3000多之間。馬國衛生總監諾希山（Noor Hisham Abdullah）表示，今天新增3764人確診，全國累計確診病例為282萬927起。

馬來西亞人口約3270萬，據官方統計，截至19日，馬國79.8%人口至少接種一劑疫苗，78.7%已完整接種。（編輯：黃自強）1110120

","馬來西亞,COVID-19,追加劑,縮短,隔離",中時新聞網,https://www.chinatimes.com/realtimenews/20220120005076-260408
