TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
陳其邁宣佈「旗津加強版二級防疫措施」今起14天內暫停大型活動,2022-01-25 16:27:54,life,高雄市長陳其邁今公布旗津加強版二級防疫措施，今起14天內、旗津大型活動暫停，包括婚宴、廟會、教會禮拜、社區活動中心等。旗津專屬二期加強版防疫措施主要有四點，分別為今起14天內大型活動暫停、社區觀關懷據點暫停服務、餐廳落實實聯制與盡量設隔板、卡拉ok及小吃部唱歌時要戴口罩。,"陳其邁說明旗津加強版防疫措施。（記者李惠洲攝）
〔記者王榮祥／高雄報導〕高雄市長陳其邁今公布旗津加強版二級防疫措施，今起14天內、旗津大型活動暫停，包括婚宴、廟會、教會禮拜、社區活動中心等。
旗津專屬二期加強版防疫措施主要有四點，分別為今起14天內大型活動暫停、社區觀關懷據點暫停服務、餐廳落實實聯制與盡量設隔板、卡拉ok及小吃部唱歌時要戴口罩。
請繼續往下閱讀...

陳其邁提醒旗津長輩與鄉親，如果有感冒症狀，看完診後一定要做PCR，篩檢站在網站都有公告，且不是篩檢完就結束，要做加強自主管理。
曾在高雄港中島熱區、或者旗津修船廠區有活動史民眾，若收到細胞簡訊須依指示到定點進行三階段篩檢，期間不能坐船、不能搭乘大眾運輸工具，禁止到人潮區，並透過實聯制每天聯繫 ，也禁止陪病。
陳其邁向旗津父老鄉親喊話，旗津區有很多辛苦的工人，近期防疫規定是有比較嚴一點點，市府也不想影響大家生活，但考量社區風險必須要控制好，所以必須按照步驟來，這段時間要把個人健康、公共衛生做好，務必戴口罩、勤洗手、保持社交距離。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。
旗津防疫措施加嚴。（記者王榮祥翻攝）
高市擴大匡列篩檢措施。（記者王榮祥翻攝）

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","春節專區,武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812697
桃市2起本土案例感染源不明 陳時中︰列為高度注意案子,2022-01-25 16:01:24,life,中央流行疫情指揮中心今日公布武漢肺炎（新型冠狀病毒病，COVID-19）本土病例新增13例，指揮官陳時中表示，主要以桃園有6例最多，且有2起事件感染源不明，列為高度注意的案子，仍待調查。桃園新增6例，包含先前聯邦銀行與西堤餐廳案中，確診華盛頓幼兒園幼童的家長1例，列為案18532，以及先前桃機手推車與居服員案中，居服員的乾妹妹職場新增1例、原本該職場確診同事的母親1例，陳時中指出，這些個案都是居家隔離期間，採檢由陰性轉陽性，對社區影響比較小。,"指揮官陳時中表示，有2起事件感染源不明，列為高度注意的案子，仍待調查。（指揮中心提供）
〔記者林惠琴／台北報導〕中央流行疫情指揮中心今日公布武漢肺炎（新型冠狀病毒病，COVID-19）本土病例新增13例，指揮官陳時中表示，主要以桃園有6例最多，且有2起事件感染源不明，列為高度注意的案子，仍待調查。
桃園新增6例，包含先前聯邦銀行與西堤餐廳案中，確診華盛頓幼兒園幼童的家長1例，列為案18532，以及先前桃機手推車與居服員案中，居服員的乾妹妹職場新增1例、原本該職場確診同事的母親1例，陳時中指出，這些個案都是居家隔離期間，採檢由陰性轉陽性，對社區影響比較小。
請繼續往下閱讀...

另外，桃園有2起事件的感染源不明，包含一對姊妹，分別為6歲、3歲，以及龍潭1名58歲退休人員，尚找不到與本土群聚關聯性，持續疫調中，其中，退休個案的足跡遍及新竹縣、桃園市、台北市，地方政府也會公布相關足跡，陳時中坦言是現在要高度注意的案子。
至於自貿港區的案子，陳時中說明，昨有針對加值園區外的人進行採檢，一共採檢2619人無人確診，但沒有全部都來，呼籲還沒採檢者，這2天快來，認為其他區域看起來是比較好，而加值園區今日要做二採，若狀況仍穩定，相對情況樂觀，只是仍不可掉以輕心。
高雄港區案則新增4例，主要是港區職場工作者，或是相關家人、親戚、接觸者等人確診。不過，陳時中提到，高雄港區案最早確診的一家三口，曾到診所就醫的接觸者中，原本有3人確診，包含案18216、案18217、案18218，第一時間均檢出弱陽性，Ct值在31至35之間，但原檢體送到昆陽實驗室複驗後，呈現陰性，個案N抗體也是陰性，二採也是陰性，代表並未染疫，就從群聚案排除。
另外，宜蘭礁溪長榮鳳凰酒店相關，原本有5名員工確診，再新增1例，為其中1人的友人，列為案18521，以及房仲業哥哥、台北圓山飯店妹妹一家三口與一名友人確診案，也再新增1例，為房仲業個案曾經帶看房的客戶，列為案18518。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812684
又群聚！英相強森開趴後又辦慶生會 首相府辯：只待10分鐘,2022-01-25 14:31:29,world,英國首相強森（Boris Johnson）近來深陷「派對門」政治風暴，如今再有報導指出，首相官邸唐寧街10號在政府下令首波封鎖令期間，違反群聚規定替強森慶生，對此強森辦公室辯稱，當時首相僅待不到10分鐘。綜合英國媒體報導，2020年6月19日在內閣辦公廳有一場替剛結束赫特福德郡官方行程的強森舉辦的慶生會，報導指出當天的生日會是由強森的妻子安排，她還帶領工作人員一起唱生日歌，還有一個蛋糕被送到約翰遜面前，對此首相辦公室駁斥報導，稱指當天首相府裡的一群工作人員在會議結束後短暫聚集在內閣會議室裡，一起祝強森生日快樂，首相在那裡「待了不到10分鐘」。,"英國首相強森近來深陷「派對門」政治風暴，如今再有報導指出，首相官邸唐寧街10號在封鎖令期間，違反群聚規定替強森慶生。（美聯社）
〔即時新聞／綜合報導〕英國首相強森（Boris Johnson）近來深陷「派對門」政治風暴，如今再有報導指出，首相官邸唐寧街10號在政府下令首波封鎖令期間，違反群聚規定替強森慶生，對此強森辦公室辯稱，當時首相僅待不到10分鐘。
綜合英國媒體報導，2020年6月19日在內閣辦公廳有一場替剛結束赫特福德郡官方行程的強森舉辦的慶生會，報導指出當天的生日會是由強森的妻子安排，她還帶領工作人員一起唱生日歌，還有一個蛋糕被送到約翰遜面前，對此首相辦公室駁斥報導，稱指當天首相府裡的一群工作人員在會議結束後短暫聚集在內閣會議室裡，一起祝強森生日快樂，首相在那裡「待了不到10分鐘」。
請繼續往下閱讀...

當時正值英國第一波武漢肺炎（新型冠狀病毒病，COVID-19）疫情封鎖時期，幾乎禁止了所有2人以上的室內活動，除非有工作或教育等特定事由。報導另指強森的親友也在官邸內同樂，引發各界對首相的不信任感。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","英國,強森",自由時報電子報,https://news.ltn.com.tw/news/world/breakingnews/3812429
礁溪長榮群聚最早感染源疑另有其人 宜縣衛生局公布確診者新足跡,2022-01-25 16:37:42,life,宜蘭縣礁溪長榮酒店5員工日前確診，宜蘭縣政府今天表示，沒有新增確診個案，不過根據疫調，長榮最初列入確診的男員工（案18443），其女同事案18495的CT值最高，很可能是最早染疫的個案，她1月12日、17日曾與朋友一起在台北上課、逛街，該名友人後來也確診，今天列案18521，屬於外縣市的個案。宜蘭縣政府衛生局今天公布案18494（長榮員工）、案18495新增的足跡。案18494於1月23日下午4點至4點5分曾至星巴克礁溪門市外帶。案18495於1月18日凌晨零點8分至1點30分曾至肉多多宜蘭復興營業所，晚上9點至9點30分寶雅宜蘭礁溪店；1月23日下午3點25分至3點35分金玉堂礁溪店，下午3點40分至3點55分至7-11瑞發門市，晚間8點35分至8點55分喜互惠和平店，晚間10點30分至10點35分7-11泉湧門市，晚間10點40分至10點50分至全家礁溪健康店。,"礁溪長榮酒店員工案18494、案18495足跡。（宜蘭縣政府提供）
〔記者蔡昀容／宜蘭報導〕宜蘭縣礁溪長榮酒店5員工日前確診，宜蘭縣政府今天表示，沒有新增確診個案，不過根據疫調，長榮最初列入確診的男員工（案18443），其女同事案18495的CT值最高，很可能是最早染疫的個案，她1月12日、17日曾與朋友一起在台北上課、逛街，該名友人後來也確診，今天列案18521，屬於外縣市的個案。
宜蘭縣政府衛生局今天公布案18494（長榮員工）、案18495新增的足跡。案18494於1月23日下午4點至4點5分曾至星巴克礁溪門市外帶。案18495於1月18日凌晨零點8分至1點30分曾至肉多多宜蘭復興營業所，晚上9點至9點30分寶雅宜蘭礁溪店；1月23日下午3點25分至3點35分金玉堂礁溪店，下午3點40分至3點55分至7-11瑞發門市，晚間8點35分至8點55分喜互惠和平店，晚間10點30分至10點35分7-11泉湧門市，晚間10點40分至10點50分至全家礁溪健康店。
請繼續往下閱讀...

礁溪長榮群聚案中，衛生局綜合各個案的發病時間及CT值變化，案18495發病時間是在1月18日，CT值最高，可能是第一位發病個案，後來她也與其他確診個案有同桌吃飯的紀錄。
另，衛生局查證相關足跡顯示，案18495於1月12日、17日曾到台北和同學一起上課或駕車並逛街，該位同學1月21日曾出現輕微症狀，昨（24）日在花蓮篩檢而確診，CT值22，縣府衛生局與中央流行疫情指揮中心等單位正共同合作找尋感染源。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。
宜蘭縣衛生局表示，案18495發病時間是在1月18日，CT值最高，可能是第一位發病個案，其友人案18521今天列入確診個案。（宜蘭縣政府提供）

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812701
桃園確診+7！幼兒園姐妹染疫 3例感染源不明,2022-01-25 16:24:34,life,首次上稿 15:23更新時間 16:24中央流行疫情指揮中心公布國內新增13例，桃園市有7例，分別為案18514、案18519、案18520、案18521、案18530、案18531及案18532，年齡介於未滿5歲至50多歲，有2例分別為中壢宏致電子確診男員工案17535的家人和男員工，2人都在隔離期滿前二採陽性，1例為華盛頓幼兒園確診男童案18118的母親，陪病期間由陰轉陽性，1例為宜蘭長榮鳳凰酒店確診者接觸者，另3例分別為1名退休男子和一對分別6、3歲小姊妹，由於感染源不明，仍調查中。,"桃園市長鄭文燦說明今天新增7例本土個案。（記者陳恩惠翻攝）
首次上稿 15:23更新時間 16:24
〔記者陳恩惠／桃園報導〕中央流行疫情指揮中心公布國內新增13例，桃園市有7例，分別為案18514、案18519、案18520、案18521、案18530、案18531及案18532，年齡介於未滿5歲至50多歲，有2例分別為中壢宏致電子確診男員工案17535的家人和男員工，2人都在隔離期滿前二採陽性，1例為華盛頓幼兒園確診男童案18118的母親，陪病期間由陰轉陽性，1例為宜蘭長榮鳳凰酒店確診者接觸者，另3例分別為1名退休男子和一對分別6、3歲小姊妹，由於感染源不明，仍調查中。
請繼續往下閱讀...

市長鄭文燦說明，案18514是名住在桃園龍潭的58歲退休人士，接種過2劑AZ疫苗，本月22日有發燒、咳嗽、喉嚨痛、肌肉痠痛等症狀，昨天就醫時採檢後確診，Ct值16，由於感染源不明，已匡列4名接觸者居家隔離，其餘匡列中，由於平日足跡在桃園龍潭及新竹縣，也同步通知竹縣政府。
鄭表示，至於案18530、案18531是對生活單純的6歲和3歲小姊妹，姊姊22日出現流鼻水和喉嚨痛等症狀，昨天就醫採檢確診，公衛人員針對接觸者採檢，發現妹妹採檢陽性且今天出現喉嚨痛症狀，由於小姊妹感染源不明，較令人憂心，市府今天已經將小姊妹就讀的幼兒園完成350名師生的採檢。
他提及，案18521是名20多歲女性，曾赴宜蘭礁溪的飯店參加餐敘，與飯店確診員工接觸過，昨天出現症狀，趕緊用家用快篩劑測試，發現陽性就醫，Ct值22.4，市府初步匡列18名居家隔離並採檢，仍擴大匡列中。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812639
礁溪長榮員工友人也確診 1天逛遍信義區百貨公司,2022-01-25 16:15:41,life,礁溪鄉長榮鳳凰酒店爆武漢肺炎（新型冠狀病毒病，COVID-19）Omicron病毒群聚感染，已有5名員工確診，今天再增1例接觸者確診。台北市衛生局表示，2名確診者在北市某大學就讀、已安排相關師生82人進行擴大採檢；確診者還曾至萬華車站、BELLAVITA寶麗廣場、遠百信義A13、微風信義、新光三越A4、A8、A9及A11。長榮鳳凰酒店群聚案截至昨天，除飯店男性櫃台接待員（案18443）確診，接待員女友（案18468）、主管（案18479）、2名同事（案18494、案18495）共4人也確診；今天再新增1例接觸者（案18521）確診，是案18495的朋友。,"案18495及案18521台北市足跡。（北市衛生局提供）
〔記者蔡思培／台北報導〕礁溪鄉長榮鳳凰酒店爆武漢肺炎（新型冠狀病毒病，COVID-19）Omicron病毒群聚感染，已有5名員工確診，今天再增1例接觸者確診。台北市衛生局表示，2名確診者在北市某大學就讀、已安排相關師生82人進行擴大採檢；確診者還曾至萬華車站、BELLAVITA寶麗廣場、遠百信義A13、微風信義、新光三越A4、A8、A9及A11。
長榮鳳凰酒店群聚案截至昨天，除飯店男性櫃台接待員（案18443）確診，接待員女友（案18468）、主管（案18479）、2名同事（案18494、案18495）共4人也確診；今天再新增1例接觸者（案18521）確診，是案18495的朋友。
請繼續往下閱讀...

台北市衛生局表示，案18495及案18521在台北市某大學就讀，最近1次到校日為1月12日，已安排相關師生82人進行擴大採檢。衛生局也公布個案北市公共場域活動足跡，1月17日曾至萬華車站、古亭國中地下停車場、BELLAVITA寶麗廣場、博多天麩羅山海餐廳時代店、Krispy Kreme Doughnuts松壽門市、遠百信義A13、微風信義、新光三越A4、A8、A9及A11、松山高中地下室停車場、南港轉運站及南港火車站，相關足跡已完成環境消毒。
衛生局呼籲有足跡重疊民眾，在2天內完成PCR採檢，並加強自我健康監測，若有發燒、腹瀉、喉嚨痛、咳嗽等呼吸道症狀或嗅味覺異常等症狀，要儘速就醫或前往台北市立聯合醫院和平、中興、仁愛、陽明、忠孝院區、關渡及萬芳醫院等7家醫院採檢站採檢。
衛生局表示，截至今天中午12點，圓山飯店工作的女廚師案18396，以及其從事房仲業的哥哥案18375、同住母親案18441共匡列居家隔離248人，其中1人陽性是新北市本土案18518，另外203人陰性、44人檢驗中。台北市也擴大採檢306人，其中98人陰性，208檢驗中，職場員工506人快篩結果全數陰性。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","台北市,礁溪,武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812717
沒戴口罩是故意的！ 林鄭月娥辯稱：要讓民眾感受到她情緒,2022-01-25 16:40:11,world,香港在武漢肺炎（新型冠狀病毒病，COVID-19）Omicron及Delta變種病毒夾攻下，引爆第5波疫情，但在疫情緊繃之際，特首林鄭月娥出席記者會時卻沒有戴口罩惹議，對此，林鄭月娥今（25日）表示，這是她有意為之，是為了讓民眾能感受到她的情緒。綜合港媒報導，在迎來第5波本土疫情爆發，香港政府卻陸續被爆出違反防疫守則，繼中國全國人民代表大會香港區代表洪為民廣邀中港高官的生日宴群聚風波後，林鄭月娥出席記者會時又沒戴口罩，引發香港社會批評。,"特首林鄭月娥出席記者會沒戴口罩惹議，對此，林鄭月娥表示，這是她有意為之，是為了讓民眾能感受到她的情緒。（歐新社）
〔即時新聞／綜合報導〕香港在武漢肺炎（新型冠狀病毒病，COVID-19）Omicron及Delta變種病毒夾攻下，引爆第5波疫情，但在疫情緊繃之際，特首林鄭月娥出席記者會時卻沒有戴口罩惹議，對此，林鄭月娥今（25日）表示，這是她有意為之，是為了讓民眾能感受到她的情緒。
綜合港媒報導，在迎來第5波本土疫情爆發，香港政府卻陸續被爆出違反防疫守則，繼中國全國人民代表大會香港區代表洪為民廣邀中港高官的生日宴群聚風波後，林鄭月娥出席記者會時又沒戴口罩，引發香港社會批評。
請繼續往下閱讀...

香港大學微生物學系講座教授袁國勇直言，Omicron變種病毒的傳播力很強，戴上口罩才是保護自己和他人的正解，尤其專家和領袖更要以身作則，「像我就戴上2個口罩」。
面對外界質疑，林鄭月娥今在記者會上以英文說道，她不在立法會答問環節及記者會上戴口罩並非偶然（incidental），而是經過深思熟慮的行為，她聲稱，香港市民必須非常清楚地聽到特首的聲音，聽到她向公眾傳達的信息是什麼，民眾甚至要感受到她的情緒，這些都是特首的職責之一，在沒有口罩的情況下，才可以清晰表達信息情感，令民眾支持政府。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","香港,林鄭月娥,武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病",自由時報電子報,https://news.ltn.com.tw/news/world/breakingnews/3812662
桃市府公布自貿港確診者18處足跡  新增鍋燒麵店、美髮店及休閒館,2022-01-25 15:49:23,life,桃園市政府下午公布桃園國際機場遠雄自由貿易港區加值園區確診者本月13至23日足跡。地點分布在桃園、蘆竹、中壢及大園等行政區，包括桃園區丸紅鍋燒麵、蘆竹中華郵政蘆竹郵局、亞通客運703路線、桃園區九龍美髮店、八方雲集桃園龍安店、蘆竹區南崁天主教堂、漢堡王台茂店、桃園區台灣壽司郎桃園國際路店、中壢區天空之城包廂式休閒館、肯德基台茂店、小米之家桃園台茂專賣店、寶雅蘆竹南竹店、家樂福超市南竹店、康是美新龍安門市、紅姊姊咕咕麵、龍安黃昏市場、家樂福超市桃園龍安店、遠傳電信內壢中華門市等。,"市府公布遠雄自貿港區確診者足跡。（桃園市政府提供）
〔記者陳恩惠／桃園報導〕桃園市政府下午公布桃園國際機場遠雄自由貿易港區加值園區確診者本月13至23日足跡。
地點分布在桃園、蘆竹、中壢及大園等行政區，包括桃園區丸紅鍋燒麵、蘆竹中華郵政蘆竹郵局、亞通客運703路線、桃園區九龍美髮店、八方雲集桃園龍安店、蘆竹區南崁天主教堂、漢堡王台茂店、桃園區台灣壽司郎桃園國際路店、中壢區天空之城包廂式休閒館、肯德基台茂店、小米之家桃園台茂專賣店、寶雅蘆竹南竹店、家樂福超市南竹店、康是美新龍安門市、紅姊姊咕咕麵、龍安黃昏市場、家樂福超市桃園龍安店、遠傳電信內壢中華門市等。
請繼續往下閱讀...

市府呼籲足跡重疊民眾進行14天自我健康監測，若有問題可撥打1922或0800-033355洽詢。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812674
基因序列同高雄港區指標個案 男大生染Omicron菲律賓株,2022-01-25 15:38:45,life,高雄港區疫情引發關注，中央流行疫情指揮中心今日公布有旗津活動史、確診武漢肺炎（新型冠狀病毒病，COVID-19）的20多歲男大生案18309，回台北後傳染給媽媽，最新病毒定序結果顯示，男大生的序列與高雄港區確診個案相同。高雄港區指標個案為一家3口案18155、案18156、案18157，經病毒基因定序，均檢出Omicron菲律賓株（BA.2）。,"關注，中央流行疫情指揮中心今日公布有旗津活動史、確診武漢肺炎的20多歲男大生案18309（圖左下），回台北後傳染給媽媽，最新病毒定序結果顯示，男大生的序列與高雄港區確診個案相同。（指揮中心提供）
〔記者林惠琴／台北報導〕高雄港區疫情引發關注，中央流行疫情指揮中心今日公布有旗津活動史、確診武漢肺炎（新型冠狀病毒病，COVID-19）的20多歲男大生案18309，回台北後傳染給媽媽，最新病毒定序結果顯示，男大生的序列與高雄港區確診個案相同。
高雄港區指標個案為一家3口案18155、案18156、案18157，經病毒基因定序，均檢出Omicron菲律賓株（BA.2）。
請繼續往下閱讀...

高雄港區案今日再新增4人確診，包含港區職場工作者，以及相關家人、親戚、接觸者等，至今累計已達55例。
其中，先前確診的案18309在高雄念書、有旗津活動史的男大生，1月15日出現發燒，自行服藥，18日母親出現咳嗽，19日發燒，因此母子到診所就醫時，進行快篩陽性，進一步至醫院做核酸檢測，結果均確診。
案18309的足跡與高雄港區相關工作人員重疊，指揮中心研判可能是接觸傳染，今日進一步公布其病毒基因定序也是與一家3口相同，但指揮中心指揮官陳時中強調，現階段證據仍無法判定高雄港區群聚與北部其他疫情有關。
「武漢肺炎專區」請點此，更多相關訊息，帶您第一手掌握。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","春節專區,武漢肺炎,新型冠狀病毒,COVID-19",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812665
第21輪第3劑疫苗明起分流預約 2/7至2/13接種,2022-01-25 14:24:42,life,第21輪武漢肺炎（新型冠狀病毒病，COVID-19）疫苗預約明天（26日）起開始預約，一樣有分年齡層分流預約，接種時程在2月7日到2月13日。目前加緊接種第三劑加強針，中央流行疫情指揮中心今天宣布，「COVID-19公費疫苗預約平台」第21輪將提供已完整接種兩劑武肺疫苗滿12週且滿18歲以上民眾，預約接種疫苗追加劑。,"第21輪武漢肺炎（新型冠狀病毒病，COVID-19）疫苗預約明天（26日）起開始預約，接種時程在2月7日到2月13日。（指揮中心提供）
〔記者吳亮儀／台北報導〕第21輪武漢肺炎（新型冠狀病毒病，COVID-19）疫苗預約明天（26日）起開始預約，一樣有分年齡層分流預約，接種時程在2月7日到2月13日。
目前加緊接種第三劑加強針，中央流行疫情指揮中心今天宣布，「COVID-19公費疫苗預約平台」第21輪將提供已完整接種兩劑武肺疫苗滿12週且滿18歲以上民眾，預約接種疫苗追加劑。
請繼續往下閱讀...

預約平台相關對象及期程說明如下：
一、施打時程：2月7日至2月13日。
二、符合資格對象：2021年11月21日前已完整接種兩劑疫苗且間隔滿12週之18歲以上民眾（即2004年2月13日前出生，可預約接種疫苗追加劑）。
三、預約分流時程：
（一）65歲以上：1月26日上午10時至1月27日下午4時。
（二）50歲到64歲：1月26日中午12時至1月27日下午4時。
（三）18歲到49歲：1月26日下午2時至1月27日下午4時。
指揮中心說明，民眾可於1月25日下午2時起於預約平台進行「預約資格查詢」，且不再另發送預約提醒簡訊，符合資格民眾請記得於預約時間進行預約，預約當日如遇啟動流量管制也請配合依序排隊耐心等候預約。
指揮中心指出，預約平台第21輪僅提供民眾預約接種疫苗追加劑，民眾若有第一、二劑或基礎加強劑接種需求，請持接種紀錄（小黃卡）到各地方政府指定/安排合約醫療院所或衛生所預約接種，或所設置之隨到隨打接種站接種。
查詢醫療院所資訊可至疾管署全球資訊網COVID-19疫苗接種院所項下，利用「COVID-19疫苗接種院所」或「COVID-19疫苗接種院所地圖」，依各地方政府衛生局提供資訊連結預約接種。
指揮中心提醒，請民眾前往接種COVID-19疫苗前，應備妥「COVID-19疫苗接種紀錄卡」及健保卡，並經醫生評估過往疫苗接種史及檢核接種紀錄後，提供民眾疫苗接種。

    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    點我下載APP　
    按我看活動辦法
","武漢肺炎,新型冠狀病毒,COVID-19,新型冠狀病毒病,第3劑疫苗",自由時報電子報,https://news.ltn.com.tw/news/life/breakingnews/3812530
