TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
北京累計52例本土確診 冬奧新增6例複檢陽性,2022-01-24 22:01:00,udn,北京這一波COVID-19疫情已累計有52例本土確診病例，當局表示，疫情基本得到控制。此外，北京冬奧相關人員昨天新增6例...,"北京這一波COVID-19疫情已累計有52例本土確診病例，當局表示，疫情基本得到控制。此外，北京冬奧相關人員昨天新增6例複檢陽性者，是首次有運動員及隨隊官員複檢陽性。

冬奧2月4日登場，北京市以及標榜閉環管理的北京冬奧疫情受矚。

中新網報導，24日的北京市疫情防控新聞發布會上宣布，1月15日至24日下午4時，北京市累計報告本土確診病例52例。其中，Omicron變異株關聯疫情累計報告病例6例，疫情基本得到控制，23日無新增相關病例。Delta變異株關聯疫情累計報告病例46例，傳播鏈條基本清晰，進一步傳播風險基本可控。

此外，北京冬奧組委今天在官網公布，23日，機場入境涉奧人員總數累計529人，其中運動員及隨隊官員153人，其他利益相關方376人。經海關檢測後，複檢陽性4人，其中運動員及隨隊官員1人，其他利益相關方3人。

23日，閉環內核酸檢測總次數3萬8441，其中運動員及隨隊官員166，其他利益相關方3萬8275。複檢陽性2人，均來自其他利益相關方。

北京冬奧組委昨天首次公布1月4日至22日的涉澳人員機場入境及閉環內檢測情況，當時公布總計72人複檢陽性（機場入境39人、閉環內33人），但都屬於「其他利益相關方」的人員。



",新冠肺炎,聯合新聞網,https://udn.com/news/story/122650/6057598
高市府指簡訊實聯制+1會有亂碼 籲盡量個別掃描,2022-01-24 17:54:00,udn,高市要求嚴格落實簡訊實聯制，但有時民眾圖方便，與朋友一起時會在簡訊後方加數字，由1人代表實聯制。高市衛生局指，數字在後台...,"高市要求嚴格落實簡訊實聯制，但有時民眾圖方便，與朋友一起時會在簡訊後方加數字，由1人代表實聯制。高市衛生局指，數字在後台只會顯示亂碼，籲民眾還是盡量個別實聯制。

高雄連日出現COVID-19（2019冠狀病毒疾病）本土確診病例，市府要求嚴格落實簡訊實聯制。衛生局簡任技正潘炤穎下午在市府防疫會議後記者會表示，疫調過程中，實聯制幫了大忙，是重要參考依據。

但民眾群體出遊、聚會時，有時會由1人代表實聯制，並在實聯制簡訊後加上「+數字」，顯示和幾人一起。潘炤穎說，其實後台只能看到實聯制訊息，後面幾人不會顯示，會成為亂碼，因此呼籲仍盡量個別完成實聯制。

潘炤穎會後向中央社記者說明，如果民眾個別掃描簡訊實聯制，後台可以看到電話號碼、時段，顯示此門號於何時到何處，接著還會有電信公司提供的一些個資；但如果簡訊後加上數字，就只剩下電話號碼，後面許多資訊會變成亂碼。

此外，市長陳其邁在防疫會議後記者會，被問到餐廳是否需設隔板？他說，除了餐廳要落實簡訊實聯制，也最好要有隔板或梅花座；另專家會議也要求醫療院所等高風險場所用餐要有隔板，有些幼兒園也恢復用餐有隔板規定。

對於社區篩檢站湧人潮，潘炤穎說，會對民眾分流、分時段篩檢，醫療團隊也加派篩檢人力，並有即時監控作為。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    生物晶片將成為對抗Omicron病毒利器。矽基分子、中研院、國家實驗研究院儀科中心跟高雄榮民總醫院，共同開發出全球首創「...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    花蓮縣衛生局今天針對確診個案18521召開記者會說明，這名確診21歲女大學生Ct值22.3，曾在1月17日與朋友案184...                  ","新冠肺炎,COVID-19",聯合新聞網,https://udn.com/news/story/120940/6057080
新冠病毒快速檢測晶片檢測只需三分鐘 預計二月上市,2022-01-25 16:11:00,udn,正當疫情升溫之際，蔚華科（3055）子公司矽基分子今日宣布世界首創的高靈敏度、高準確度「新冠病毒快速檢測晶片」，在科技部...,"正當疫情升溫之際，蔚華科（3055）子公司矽基分子今日宣布世界首創的高靈敏度、高準確度「新冠病毒快速檢測晶片」，在科技部、中研院、國研院儀科中心及高雄榮民總醫院共同努力下，已完成臨床驗證142例，並於2021年底取得衛福部之緊急使用授權，預計今年2月上市銷售。



矽基分子電測執行長褚家容表示，相較於現行檢測方式，「新冠病毒快速檢測晶片」單次樣本檢測只需３分鐘；包括檢體、陰性陽性樣本對照及作業時間等完整檢測流程可在20分鐘內取得檢測結果。



矽基分子表示，「新冠病毒快速檢測晶片」的問世，運用中研院物理所量子電子元件實驗室團隊先期開發已取得台灣及美國專利的生物矽基場效電晶體（Bio-FET）平台，結合矽基分子電測自行開發的新世代檢測技術與製程；科技部轄下國家實驗研究院台灣儀器科技研究中心（國研院儀科中心）所負責的「醫材加速器」協助進行安規驗證；最後由高雄榮民總醫院（高雄榮總）完成臨床驗證分析，終於使高靈敏度且高準確度的「新冠病毒快速檢測晶片」受TFDA/ EUA核准。



高雄榮總副院長陳垚生指出，該系統經新冠病毒核酸臨床檢測結果，敏感性96.8%，特異性95.1%，且Ct值35以下的檢體，陽性一致率為100%；換言之，核酸不需經過擴增，對於體內病毒含量極低的感染初期或無症狀新冠肺炎患者，準確率達9成5以上，將對防疫檢測及疫情提供極大助力，可讓病人及早隔離或治療，避免社區感染，提升早期快速檢測能量。



褚家容表示，「新冠病毒快速檢測晶片」能順利取得EUA並準備上市銷售，半導體及ICT產業鏈上下游的神助攻皆功不可沒，其中深耕半導體整合解決方案三十餘年的蔚華科技，成功催生生醫及半導體跨領域整合成功，積極推動系統開發至量產之進程，協助矽基分子快速突破進入量產面臨的種種瓶頸。



秦家騏表示，在本產品取得TFDA/ EUA核可後，也將繼續透過蔚華在半導體業的影響力，協助推動產業鏈的上下游串連，讓「新冠病毒快速檢測晶片」在量產上市的過程更加順利。



矽基分子成立於2014年，核心團隊自1997年即展開奈米矽線場效應電晶體的相關研究，是台灣最早開始研究此領域的團隊，矽基分子也是唯一一間由專業研究團隊所創辦的公司。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19
晶片




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    生物晶片將成為對抗Omicron病毒利器。矽基分子、中研院、國家實驗研究院儀科中心跟高雄榮民總醫院，共同開發出全球首創「...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    花蓮縣衛生局今天針對確診個案18521召開記者會說明，這名確診21歲女大學生Ct值22.3，曾在1月17日與朋友案184...                  ","新冠肺炎,COVID-19,晶片",聯合新聞網,https://udn.com/news/story/120940/6059700
蘇揆再喊話Omicron感染多輕症 防疫「戒慎不必恐懼」,2022-01-25 14:50:00,udn,新冠肺炎本土疫情持續發展，行政院長蘇貞昌今（25）日再次喊話，Omicron變種病毒雖傳播快速，但大部分感染者症狀輕微，...,"新冠肺炎本土疫情持續發展，行政院長蘇貞昌今（25）日再次喊話，Omicron變種病毒雖傳播快速，但大部分感染者症狀輕微，呼籲國人面對疫情「戒慎不必恐懼」，政府也已備足相關藥品，150萬劑莫達納疫苗也已抵台。



蘇揆今日前往視察「龜山集中檢疫所」，並聽取衛福部桃園醫院副院長陳日昌進行「龜山集中檢疫所因應疫情整備報告」簡報，掌握檢疫所住民收容現況及住宿安排等資料，並稱讚集中檢疫所的監視器設備十分完善，相關作業均執行良好。



蘇揆長指出，他上午主持行政院擴大防疫會議時，已掌握整體疫情狀況，他表示這波變種病毒Omicron的特性就是傳播快速，但大部分感染者症狀輕微，而目前所有藥品均已準備充裕，口服抗病毒藥也陸續抵臺，加以政府所採行的輕症分流措施亦執行順利，相信將有助減輕醫療負擔。



蘇揆呼籲國人面對疫情「戒慎不必恐懼」，請大家一起配合防疫作業，尤其實證經驗證明施打疫苗能有效增加保護力，而今天下午也有150多萬劑莫德納疫苗將抵台，希望國人依照相關疫苗預約作業，盡快施打疫苗，才能保護自己與家人。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    生物晶片將成為對抗Omicron病毒利器。矽基分子、中研院、國家實驗研究院儀科中心跟高雄榮民總醫院，共同開發出全球首創「...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    花蓮縣衛生局今天針對確診個案18521召開記者會說明，這名確診21歲女大學生Ct值22.3，曾在1月17日與朋友案184...                  ","新冠肺炎,COVID-19",聯合新聞網,https://udn.com/news/story/120940/6059393
竹市160家診所 27日起由醫師評估發放快篩試劑,2022-01-25 12:15:00,udn,因應近期本土疫情升溫，新竹市長林智堅今開防疫會議，宣布27日起竹市160家基層診所將配給「居家快篩試劑」，若民眾如果有上...,"因應近期本土疫情升溫，新竹市長林智堅今開防疫會議，宣布27日起竹市160家基層診所將配給「居家快篩試劑」，若民眾如果有上呼吸道症狀，可經醫師評估後免費發放居家快篩試劑做檢測。另外，為讓民眾年假期間也能安排疫苗施打，衛生局協調合約診所加開四天，除夕、初四至初六（1月31日、2月4日至2月6日）共18家診所提供疫苗接種服務，請民眾先行電洽診所預約接種。



林智堅說，桃竹竹是共同生活圈，春節將至，防疫將是重中之重，考量民眾若有不適狀況都會到基層診所就醫，市府近日將配給全市160家基層診所「居家快篩試劑」，若有呼吸道症狀的民眾到就醫時，可由醫師評估發放，後續民眾則須回報篩檢結果，讓基層診所也納入社區篩檢一環。



另外，春節期間市府也協調醫療院所，加開四天除夕、初四至初六（1月31日、2月4日至2月6日）疫苗接種服務，竹市18家診所提供AZ、BNT、莫德納、高端疫苗接種，因各診所提供疫苗、可施打時段不同，請民眾先行電洽診所預約接種。相關資訊請參考附表（https://reurl.cc/6EL17V）或至新竹市防疫網（https://www.2021.hccg.gov.tw/）查詢。



近期春節聚會多，林智堅說，市府也強化餐飲業者防疫輔導，累計共查訪928家餐廳，已請餐飲店家強化實聯制等，也請民眾多加配合並做好個人防疫。



另外，依中央流行疫情指揮中心規範，醫院、長照、老福、身障、精神照護機構停止探病、探視，住院陪病限制1人，請民眾多加留意。市府也將落實查核，並宣導機構工作人員減少跨縣市移動。



市府指出，因應春節，已強化防疫措施，10處公有市場採單一出入口並設置檢測站，景點也持續人流管制，包括新竹市動物園容留人數上限1500人、假日市集容留人數上限800人、波光市集容留人數上限450人、賞蟹步道容留人數上限250人、漁港直銷中心容留人數上限360人。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    生物晶片將成為對抗Omicron病毒利器。矽基分子、中研院、國家實驗研究院儀科中心跟高雄榮民總醫院，共同開發出全球首創「...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    花蓮縣衛生局今天針對確診個案18521召開記者會說明，這名確診21歲女大學生Ct值22.3，曾在1月17日與朋友案184...                  ","新冠肺炎,COVID-19",聯合新聞網,https://udn.com/news/story/120940/6058832
歐美疫情 看到「結束」訊號,2022-01-25 01:01:00,udn,歐美地區新冠疫情出現曙光，美國首席防疫顧問佛奇表示，美國由Omicron變種病毒引發的疫情有望在2月中旬觸頂，世界衛生組...,"歐美地區新冠疫情出現曙光，美國首席防疫顧問佛奇表示，美國由Omicron變種病毒引發的疫情有望在2月中旬觸頂，世界衛生組織（WHO）官員也認為，Omicron病毒已把歐洲疫情帶入新階段，疫情有望結束。但在疫情出現樂觀進展之際，通膨、勞動力短缺等經濟疑慮仍揮之不去。



佛奇23日說，美國東北部等部分地區的Omicron確診病例在攀峰後，已開始迅速降溫，他對美國多數地區的疫情將在2月觸頂「有信心」，若南部州的部分地區和西部州也依循其他地區的疫情發展趨勢，確診病例可能繼續攀升，但「我相信你將開始看到全國（疫情）出現轉圜」。



WHO歐洲區辦事處主任克魯格23日說，歐洲正走向某種疫情尾聲，若Omicron疫情消退，「將有數周甚至數月的全球免疫期，這歸功於疫苗、染疫後免疫或季節性感染減少」。



WHO祕書長譚德塞24日表示，新冠疫情正處於關鍵期，疾呼各國攜手終結疫情的蔓延階段，否則仍可能出現新的變異株。他說，若採取正確措施，新冠疫情的嚴峻階段可望在今年結束。



不過，美國全國企業經濟學家協會（NABE）1月的訪調顯示，企業漲價狀況已更廣泛，且工資持續飆漲，許多公司都面臨技能熟練勞工短缺問題。調查顯示，53%的受訪企業表示，去年第4季已漲價，比率為開始調查40年來最高。逾半數受訪者預期未來三個月價格會進一步上揚。



企業上季把成本轉嫁給消費者的重要因素是勞動力成本。約68%受訪者不得不調高工資，77%預期未來三個月的工資成本將升高。訪調也顯示，約57%受訪者表示技能熟練的勞工不足，比率比去年10月的訪調提高10個百分點。近三分之一受訪者預期，缺工狀況將延續至2023年或更久。



Omicron疫情也導致美國數百萬名員工因病告假或抱病上班。美國普查局1月初的調查顯示，近880萬人因感染新冠肺炎或為了照顧患者而缺勤。哈佛大學的調查則發現，近三分之二受訪者去年12月曾抱病上班，主要原因是財務考量。","新冠肺炎,COVID-19",聯合新聞網,https://udn.com/news/story/121707/6057816
美國5G訊號亂航班 150萬劑莫德納疫苗延遲抵台,2022-01-24 17:55:00,udn,原訂今天有一批莫德納疫苗到貨，但指揮中心指揮官陳時中說，受美國5G訊號影響航班，150萬至155萬劑莫德納疫苗可能還需要...,"原訂今天有一批莫德納疫苗到貨，但指揮中心指揮官陳時中說，受美國5G訊號影響航班，150萬至155萬劑莫德納疫苗可能還需要再等2天才會抵台，確切時程受機場管理影響。

中央流行疫情指揮中心日前透露，今天還會有一批COVID-19（2019冠狀病毒疾病）的莫德納（Moderna）疫苗抵台，到貨數量將決定1922疫苗預約平台第21期提供第3劑莫德納疫苗預約數，預約日程為1月26日至28日，接種日期為2月7日至13日。

陳時中下午疫情記者會表示，大約150萬至155萬的莫德納疫苗，由於莫德納疫苗與默沙東口服藥物一樣，都是從美國起飛，但近期美國航班受到5G訊號干擾，班次不算穩定，到貨時程排定這2天會來，考量機場管理原因，還不敢那麼確定。

美國電信巨擘AT&T和威瑞森（Verizon）推出5G服務，美國各大客運、貨運航空公司執行長示警，5G訊號將引發「災難性」航空危機。航空業者認為，最新C頻段5G服務可能導致為數可觀的飛機無法使用，讓美國航班大亂。

國內疫情嚴峻，民眾接種率踴躍，據指揮中心統計，1月22日至1月23日國內COVID-19疫苗接種34萬2525人次，截至目前為止，COVID-19 疫苗接種人口涵蓋率第1劑81.16%、第2劑73.59%、免疫功能低下或受抑制的病人基礎加強劑接種率0.62%、一般人追加劑接種率16.64%。

陳時中說，國內COVID-19疫苗已分配很多地方，在確保醫院值班量能及醫護人員適當休息前提下，地方衛生單位願意調配協助施打，中央可提供手頭上的疫苗，如BNT、AZ跟高端疫苗，提供接種。

不少民眾踴躍搶打第3劑追加劑疫苗，其中不少人有意願接種高端疫苗，包含陳時中太太日前都傳出預約不到高端疫苗，今天記者會上有媒體詢問相關問題，陳時中說，太太和兒子已經順利預約，今天下午就會去施打，甚至透露因要親自主持疫情記者會，拒絕太太一同接種的邀約。

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠疫苗




                    本土疫情攀升，為加速疫苗施打，台北市大年初四至初六開打2.1萬劑BNT疫苗，今天上午9點起開放預約，2萬568名額BNT...                  

                    台北市長柯文哲昨宣布，北市春節期間加開第三劑疫苗接種計畫，並在今早9時至下午5時開放預約BNT疫苗，台北市副市長蔡炳坤表...                  

                    中央在31日至2月6日過年期間共7天暫停接種疫苗，桃園市府昨宣布，要在春節期間加開接種場次。市長鄭文燦今天表示，為避免長...                  

                    國內疫情持續延燒，民眾搶打第三劑盼降低染疫風險，其中第三劑又以莫德納最受歡迎。今年首批莫德納疫苗151.21萬劑，已於今...                  

                    民眾搶打第三劑疫苗潮，台北市爆出缺一千瓶、約2萬人的莫德納疫苗。台北市長柯文哲昨說，系統都是中央在管，現在說不夠「干我什...                  

                    國內疫情持續延燒，也讓不少民眾搶打第三劑，希望可以降低染疫風險，其中第三劑又以莫德納最受歡迎。指揮中心今公布，今年第一批...                  ",新冠疫苗,聯合新聞網,https://udn.com/news/story/122190/6057044
對抗Omicron無效 衛生部暫停配送兩款新冠藥物,2022-01-25 15:23:00,udn,聯邦食品暨藥物管理局(FDA)24日表示，暫時撤銷授權藥廠雷傑納隆(Regeneron Pharmaceuticals)和禮萊(Eli Lilly)研製的新冠肺炎單株抗體療法，指此療法不利對抗Omicron變種病毒，不應在美國使用；衛生部(HHS)已通知各州，暫停配送由這兩款新冠藥物。,"聯邦食品暨藥物管理局(FDA)24日表示，暫時撤銷授權藥廠雷傑納隆(Regeneron Pharmaceuticals)和禮萊(Eli Lilly)研製的新冠肺炎單株抗體療法，指此療法不利對抗Omicron變種病毒，不應在美國使用；衛生部(HHS)已通知各州，暫停配送由這兩款新冠藥物。



FDA藥品評估暨研究中心(CDER)主任卡瓦佐尼(Patrizia Cavazzoni)表示，數據顯示這兩種抗體療法，「不太可能在對抗Omicron變異株時活躍，而此病毒株正以高度傳染力在全美擴散。」



聯邦疾病防治中心(CDC)表示，Omicron占目前全美確診病例逾99%。



「目前多數尋求治療的確診病患並非感染Omicron以外的病毒，當局目前不授權使用這些療法。」卡瓦佐尼說，未來若有新毒株適用單株抗體療法，這些療法仍可能再被授權使用。



政府官員表示，當局暫時配送雷傑納隆和禮萊的新冠藥，是為了避免染疫病患拿到對Omicron無效的藥物。



資深官員上周已致電通知多州官員，並告知各州公衛機構，可替代雷傑納隆和禮萊單株抗體療法的藥物。目前仍有多種藥物可有效對抗Omicron，包括英國藥廠葛蘭素史克(GlaxoSmithKline)與美國維爾生物科技公司(Vir Biotechnology)合力研發的「Sotrovimab」、輝瑞(Pfizer)研發的口服藥「Paxlovid」，以及默克藥廠(Merck)與Ridgeback Biotherapeutics合作開發的抗病毒口服藥「莫納皮拉韋」(Molnupiravir)，另有門診靜脈注射藥物「瑞德西韋」(Remdesivir)，但許多醫生及醫院抱怨，Paxlovid和Sotrovimab供不應求。



單株抗體利用蛋白質強化或模擬免疫系統用以對抗病毒等病原體，但FDA表示，Omicron高度變異讓雷傑納隆和禮萊的新冠藥難以發揮效用。 



佛州州長德桑提斯(Ron DeSantis)率先批評雷傑納隆和禮萊的療法，並架設新網站質疑單株抗體對抗Omicron的療效；德桑提斯反對疫苗強制令，且曾影射接種新冠疫苗可能影響生殖功能。","新冠肺炎,COVID-19,Omicron,新冠疫苗,Omicron變異株",聯合新聞網,https://udn.com/news/story/121707/6058776
日本民眾打第3劑疫苗 政府設東京大型接種中心,2022-01-24 21:03:00,udn,因應COVID-19（2019冠狀病毒疾病）疫情急速擴大，日本政府急著安排民眾打第3劑疫苗，由自衛隊運作的東京大型接種中...,"

因應COVID-19（2019冠狀病毒疾病）疫情急速擴大，日本政府急著安排民眾打第3劑疫苗，由自衛隊運作的東京大型接種中心今天起陸續搭建相關設備。

傳染力強的Omicron變異株蔓延全球，日本政府鑑於境內疫情急速擴大，認為有必要加速安排民眾施打疫苗，並決定在東京設立大型接種中心，地點位於政府的大手町合同廳舍（聯合辦公中心）3號館，和去年同地點，且同樣由自衛隊負責運作。

民眾可以從28日起上網站或打電話預約，施打的疫苗是莫德納（Moderna）疫苗，預計31日開始施打，到2月5日之間每天施打人數720人，但2月7日起以後增為每天2160人。

日本民眾只要18歲以上，持有接種券（通知單），完成預約者，都可在東京大型接種中心施打第3劑疫苗，居住地不設限。大型接種中心原則上營運至7月31日止。

日本政府也計畫在大阪設立由自衛隊營運的大型接種中心，下個月4日起民眾可透過專屬網站、電話等預約。預估每天可提供960人施打疫苗。

日本首相官邸（行政中心）17日表示，安排醫護人員優先施打第3劑疫苗，已打完第3劑者約134萬人，相當於總人口的1.1%。日本政府預計4月上旬前發送9500萬劑疫苗給地方自治體（都道府縣市區町村）、企業。

自衛隊營運的大型接種中心去年5月下旬首度開設，11月30日關閉，總計施打196萬劑疫苗。截至去年11月，施打劑數相當於日本全國打疫苗總劑數的1%。起初是為東京23區及大阪市65歲以上民眾施打疫苗，後來因需求擴大，改為18歲以上者皆可預約打疫苗。","新冠肺炎,COVID-19,日本,疫苗",聯合新聞網,https://udn.com/news/story/121707/6057556
台南出現兩確診個案 黃偉哲：未落實實聯制罰3千到1萬5,2022-01-25 16:40:00,udn,台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的...,"台南市在這一波Omicron變種病毒疫情中也淪陷，下午市府公布新增兩確診個案，台南市長黃偉哲表示，從近期的疫調發現民眾的實聯制並未完全落實，一旦發生疫情，可能成為防疫破口，之後如果發現未落實，將依傳染病防治法開罰，情節嚴重會開罰到最高的1萬5000元。



台南市衛生局局長許以霖今天在疫情記者會中也表示，新增的病例中，案18533在發病後，直接前往診所就診，造成診所醫護人員也被匡列，擔心未來如果病例多，可能影響台南市的醫療量能，所以從今天起要求看上呼吸道疾病的醫療院所醫護人員，都要戴N95口罩、穿防護衣及面罩等，市府也會再增購快篩試劑，讓患者在就醫前先快篩，避免直接進入診所，造成診所關門。



許以霖表示，台南中西區的個案是一家母女三人自美國返國後，在防疫旅館居家檢疫時，小女兒先確診，媽媽去醫院照顧，也跟著確診，後來未滿18歲的長女，依規定由住在中西區的70多歲外祖母照顧，長女之後也確診，外祖母最後確診，由於都依規定在家中未外出，只有一名親友送餐點，社區感染的風險應該很低，只有這名親友被匡列居家隔離。



衛生局表示，母女三人都確診，目前算是境外移入個案，只有外祖母算本土個案，為個案18522。



另外，18533是因為前往高雄與高雄港的群聚個案有接觸，因而染疫，黃偉哲表示，這名個案在22日就出現症狀，但卻沒有警覺性，依然趴趴走，先後前往甲嘴王肉圓善化店、新化東林蝦仁飯、安定王家麵店用餐，在23日上午8點半到10點半間，還前往人潮眾多的新化年貨大街逛街，一直到24日獲知高雄的親友確診，才由女兒購買快篩劑篩檢，晚間才通知衛生局，如果在22日就警覺快篩，後續就不會有擴散的機會，相當可惜。



黃偉哲表示，從之前的玄饌餐廳喜宴有確診者，到最新的疫情，發現有不少人防疫鬆懈，並沒有做好簡訊實聯制，之後一旦查到，會嚴格依法開罰3000到1萬5000元。



許以霖表示，新化年貨大街明天也將停業一天，請在23日曾前往逛街者，一旦有症狀出現，要盡快篩檢。台南市政府今天前往新化年貨大街消毒。圖／市府提供台南市今天新增兩確診個案。圖／市府提供台南市政府今天前往新化年貨大街消毒。圖／市府提供台南市今天新增兩確診個案。圖／市府提供台南市今天新增兩確診個案。圖／市府提供

 ▪【疫情專題】1月25日增13例本土、25例境外 無個案死亡 ▪【整理包】第3劑怎麼選？一圖看懂各劑種組合效能、副作用強度 ▪【QA整理包】超實用日期對照表 一張圖秒看懂何時能打第三劑 ▪【教學文】一掃便知！數位新冠健康證明、台北通疫苗護照 操作流程看過來 

新冠肺炎
COVID-19
台南
黃偉哲
實聯制




                    宜蘭礁溪長榮鳳凰酒店疫情延燒，指揮中心表示，礁溪長榮鳳凰酒店確診員工案18495，其20多歲女性友人案18521也確診，...                  

                    新冠肺炎本土疫情再起，國內今天新增13名本土個案、25名境外移入個案，無死亡個案。指揮中心指揮官陳時中表示，本土個案較少...                  

                    今年學測1月21日至23日舉行，高雄傳出有1名考生在1月24日確診，高雄市衛生局緊急清消考場，同試場的考生及接觸師生已居...                  

                    國內疫情持續延燒，簡訊實聯制有助疫調，然而許多民眾集體聚會時，會由一人代表實聯制，並在簡訊後方「+數字」，但高雄市卻表示...                  

                    高雄港埠爆發群聚感染，今高雄港區確診個案新增4例，其中3例歸高雄個案、1例歸台南個案。市府今天下午也公布最新的確診個案足...                  

                    宜蘭礁溪長榮鳳凰酒店爆發5例員工確診個案，縣衛生局續追感染源，今天公布案18494、18495的新足跡，呼籲與足跡有重疊...                  ","新冠肺炎,COVID-19,台南,黃偉哲,實聯制",聯合新聞網,https://udn.com/news/story/120940/6059805
